
           Total tracked memory (including duplicates, so too high) = 130769712
Unity  components of total size: 86970323
    Type: SyntaxTree.VisualStudio.Unity.Bridge.ProjectSystem.ProjectComparer of size 1936
    Type: SyntaxTree.VisualStudio.Unity.Bridge.ProjectSystem.UnitySolution of size 1536
    Type: SyntaxTree.VisualStudio.Unity.Bridge.Configuration.ConfigurationFields of size 1168
    Type: SyntaxTree.VisualStudio.Unity.Bridge.ProjectSystem.UnitySolutionBuilder of size 1128
    Type: SyntaxTree.VisualStudio.Unity.Bridge.Configuration.GlobalConfiguration of size 856
    Type: SyntaxTree.VisualStudio.Unity.Bridge.Configuration.Configurations of size 460
    Type: SyntaxTree.VisualStudio.Unity.Bridge.Configuration.DefaultConfiguration of size 432
    Type: SyntaxTree.VisualStudio.Unity.Bridge.VersionSpecificAssemblyGenerator of size 416
    Type: SyntaxTree.VisualStudio.Unity.ProductInfo of size 280
    Type: SyntaxTree.VisualStudio.Unity.Bridge.CompilationUnit of size 144
    Type: Mono.CSharp.CommandLineParser of size 58
    Type: Mono.CSharp.SourceFile of size 40
    Type: SyntaxTree.VisualStudio.Unity.Bridge.Project of size 32
    Type: SyntaxTree.VisualStudio.Unity.Bridge.ProjectFilesGenerator+<>c of size 24
    Type: SyntaxTree.VisualStudio.Unity.Bridge.ScriptOpener+<>c of size 24
    Type: SyntaxTree.VisualStudio.Unity.Bridge.ProjectSystem.UnitySolution+<>c of size 24
    Type: SyntaxTree.VisualStudio.Unity.Bridge.VisualStudioIntegration+<>c of size 24
    Type: SyntaxTree.VisualStudio.Unity.Bridge.ProjectSystem.ProjectComparer+<>c of size 24
    Type: SyntaxTree.VisualStudio.Unity.Bridge.ProjectSystem.UnityProject+<>c of size 24
    Type: SyntaxTree.VisualStudio.Unity.Bridge.Configuration.ConfigurationFields+<>c of size 24
    Type: SyntaxTree.VisualStudio.Unity.Bridge.ProjectSystem.UnitySolutionBuilder+<>c of size 24
    Type: SyntaxTree.VisualStudio.Unity.Bridge.Project+<>c of size 24
    Type: SyntaxTree.VisualStudio.Unity.Bridge.CompilationUnit+<>c of size 24
    Type: SyntaxTree.VisualStudio.Unity.Bridge.UnityIntegration of size 4
    Type: SyntaxTree.VisualStudio.Unity.Bridge.WinPath of size 4
    Type: SyntaxTree.VisualStudio.Unity.Bridge.Configuration.ConfigurationUtils of size 2
Assembly: NPOI.OOXML, Version=2.2.0.0, Culture=neutral, PublicKeyToken=0df73ec7942b34e1 of total size: 104712
    Type: NPOI.XSSF.UserModel.XSSFRelation of size 35460
    Type: NPOI.XWPF.UserModel.XWPFRelation of size 23992
    Type: NPOI.SS.UserModel.IndexedColors of size 10972
    Type: NPOI.XSSF.UserModel.XSSFPictureData of size 7800
    Type: NPOI.XWPF.UserModel.XWPFPictureData of size 7264
    Type: NPOI.XSSF.Extractor.XSSFExcelExtractor of size 4352
    Type: NPOI.XWPF.Extractor.XWPFWordExtractor of size 3616
    Type: NPOI.XSSF.UserModel.XSSFVMLDrawing of size 2310
    Type: NPOI.XSSF.UserModel.XSSFDataValidation of size 2192
    Type: NPOI.XWPF.UserModel.XWPFTable of size 896
    Type: NPOI.XWPF.UserModel.XWPFTableCell of size 896
    Type: NPOI.XSSF.UserModel.XSSFRichTextString of size 872
    Type: NPOI.XSSF.UserModel.XSSFWorkbook of size 798
    Type: NPOI.XSSF.UserModel.XSSFSimpleShape of size 628
    Type: NPOI.XSSF.UserModel.XSSFChartSheet of size 598
    Type: NPOI.XSSF.UserModel.XSSFName of size 504
    Type: NPOI.POIXMLDocument of size 400
    Type: NPOI.XSSF.UserModel.XSSFDrawing of size 272
    Type: NPOI.XSSF.UserModel.Helpers.HeaderFooterHelper of size 192
    Type: NPOI.XSSF.XLSBUnsupportedException of size 112
    Type: NPOI.CustomProperties of size 104
    Type: NPOI.XSSF.UserModel.XSSFCell of size 64
    Type: NPOI.XSSF.UserModel.XSSFFactory of size 48
    Type: NPOI.XSSF.Util.CTColComparator of size 48
    Type: NPOI.XWPF.UserModel.XWPFFactory of size 48
    Type: NPOI.XSSF.UserModel.XSSFFont of size 44
    Type: NPOI.XSSF.Util.EvilUnclosedBRFixingInputStream of size 28
    Type: NPOI.XSSF.UserModel.XSSFRow of size 24
    Type: NPOI.POIXMLDocumentPart of size 24
    Type: NPOI.XSSF.UserModel.XSSFSheet of size 24
    Type: NPOI.XSSF.UserModel.XSSFPicture of size 24
    Type: NPOI.XSSF.Util.NumericRanges of size 20
    Type: NPOI.XSSF.UserModel.XSSFShape of size 16
    Type: NPOI.Util.IdentifierManager of size 16
    Type: NPOI.XSSF.UserModel.Charts.XSSFChartAxis of size 16
    Type: NPOI.XWPF.Model.XWPFHeaderFooterPolicy of size 12
    Type: NPOI.XSSF.Model.StylesTable of size 8
    Type: NPOI.XSSF.UserModel.Charts.XSSFManualLayout of size 8
    Type: NPOI.SS.Converter.ExcelToHtmlUtils of size 6
    Type: <PrivateImplementationDetails>{5E635159-7EDB-40F0-BFBB-048E5854B475} of size 4
Assembly: Assembly-CSharp-Editor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null of total size: 94430
    Type: CustomSettings of size 27584
    Type: ToLua_UnityEngine_Object of size 8064
    Type: ToLuaExport of size 7928
    Type: UnityEditor.XCodeEditor.PBXFileReference of size 7512
    Type: DG.DOTweenEditor.DOTweenAnimationInspector of size 5744
    Type: ToLua_System_Delegate of size 5392
    Type: XlsxDataManager of size 5312
    Type: ToLuaMenu of size 4688
    Type: AssetPacker of size 2744
    Type: ToLua_LuaInterface_EventObject of size 1664
    Type: CollectDependencies.CollectDependenciesExample of size 1516
    Type: TPImporter.TexturePackerImporter of size 1192
    Type: CollectDependencies.CodeGenerate of size 1144
    Type: ToLua_System_String of size 1096
    Type: XlsxDataUnit of size 838
    Type: GUIControls.UICommon of size 824
    Type: BuildPlayer of size 776
    Type: VersionUpdateScript of size 736
    Type: ToLua_UnityEngine_Input of size 720
    Type: DataUnitPath of size 712
    Type: TPImporter.SettingsDatabase of size 700
    Type: UnityEditor.ShaderForgeInspector of size 680
    Type: ToLua_System_Enum of size 656
    Type: GameClient.ImageUITool of size 568
    Type: UITexturePacker of size 480
    Type: UnityEditor.UI.ExtensionMenuOptions of size 476
    Type: UnityEditor.XCodeEditor.XCPlist of size 448
    Type: EasyTouchWelcomeScreen of size 432
    Type: UnityEditor.XCodeEditor.XCBuildConfiguration of size 376
    Type: ServerTextTool of size 376
    Type: AssetSizer of size 352
    Type: UnityEditor.XCodeEditor.PBXBuildFile of size 232
    Type: ResMaterialChecker of size 224
    Type: UITextureRenamer of size 216
    Type: DSceneDataEditorWindow of size 200
    Type: UnityEditor.XCodeEditor.PBXParser of size 186
    Type: UnityEditor.XCodeEditor.PBXGroup of size 176
    Type: DSkillDataEditorWindow of size 172
    Type: AssetStatistician of size 144
    Type: PlistCS.Plist of size 132
    Type: SceneMaterialNormalizer of size 120
    Type: XUPorterJSON.MiniJSON of size 88
    Type: GridAuxGeoDrawer of size 84
    Type: UITools.Controls of size 84
    Type: ToLua_System_Object of size 80
    Type: ProtoBuf.CodeGenerator.CommandLineOptions of size 66
    Type: FileTools of size 64
    Type: XlsxDebug of size 64
    Type: ModelEditorPanel of size 52
    Type: ChangeFontWindow of size 48
    Type: UnityEditor.XCodeEditor.PBXBuildPhase of size 40
    Type: UnityEditor.UI.GeUIEffectParticleEditor of size 36
    Type: UnityEditor.XCodeEditor.PBXObject of size 32
    Type: ByteReader of size 32
    Type: EasytouchHierachyCallBack of size 24
    Type: UnityEditor.UI.CanvasParticleEmitterEditor of size 24
    Type: EntityMonsterInfo of size 16
    Type: PlistCS.PlistDateConverter of size 8
    Type: DGridLayoutGroup of size 8
    Type: EditorUI.GUIVerticalFlexBlock of size 8
    Type: DDungeonInspector of size 8
    Type: CollectDependencies.ComUtility of size 4
    Type: TextDataStream of size 4
    Type: EditorUI.SplitterState of size 4
    Type: EditorUI.SplitterGUILayout of size 4
    Type: UnityEditor.ShaderForgeInspector+Styles of size 4
    Type: TPImporter.Dbg of size 4
    Type: Robot of size 4
    Type: EditorUI.UIListBox of size 4
Assembly: Microsoft.JScript, Version=8.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a of total size: 89240
    Type: Microsoft.JScript.SemanticAnalyser of size 14300
    Type: Microsoft.JScript.ErrorConstructor of size 7592
    Type: Microsoft.JScript.DateConstructor of size 6072
    Type: Microsoft.JScript.StringConstructor of size 5176
    Type: Microsoft.JScript.DatePrototype of size 5120
    Type: Microsoft.JScript.ScriptStream of size 4548
    Type: Consts of size 4536
    Type: Microsoft.JScript.StringPrototype of size 4248
    Type: Microsoft.JScript.JScriptCodeGenerator of size 3616
    Type: Microsoft.JScript.ArrayConstructor of size 2780
    Type: Microsoft.JScript.RegExpConstructor of size 2564
    Type: Microsoft.JScript.NumberConstructor of size 2096
    Type: Microsoft.JScript.ObjectConstructor of size 2088
    Type: Microsoft.JScript.FunctionConstructor of size 2032
    Type: Microsoft.JScript.TypeManager of size 1984
    Type: Microsoft.JScript.EnumeratorConstructor of size 1952
    Type: Microsoft.JScript.BooleanConstructor of size 1856
    Type: Microsoft.JScript.ArrayPrototype of size 1852
    Type: Microsoft.JScript.NumberPrototype of size 1224
    Type: Microsoft.JScript.ObjectPrototype of size 1160
    Type: Microsoft.JScript.MathObject of size 1128
    Type: Microsoft.JScript.LateBinding of size 1108
    Type: Microsoft.JScript.FunctionPrototype of size 1088
    Type: Microsoft.JScript.CodeGenerator of size 1028
    Type: Microsoft.JScript.EnumeratorPrototype of size 1008
    Type: Microsoft.JScript.RegExpPrototype of size 1000
    Type: Microsoft.JScript.GlobalObject of size 998
    Type: Microsoft.JScript.ActiveXObjectConstructor of size 960
    Type: Microsoft.JScript.ErrorPrototype of size 928
    Type: Microsoft.JScript.BooleanPrototype of size 928
    Type: Microsoft.JScript.VBArrayConstructor of size 912
    Type: Microsoft.JScript.Token of size 512
    Type: Microsoft.JScript.Symbol of size 364
    Type: Microsoft.JScript.Namespace of size 364
    Type: Microsoft.JScript.LenientMathObject of size 64
    Type: Microsoft.JScript.Decompiler of size 28
    Type: Microsoft.JScript.TokenStream of size 12
    Type: Microsoft.JScript.RegExpLiteral of size 6
    Type: Microsoft.Vsa.BaseVsaEngine of size 4
    Type: Microsoft.JScript.Identifier of size 4
Assembly: DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null of total size: 87868
    Type: DG.Tweening.Core.TweenManager of size 85420
    Type: DG.Tweening.Plugins.StringPluginExtensions of size 340
    Type: DG.Tweening.DOTween of size 216
    Type: DG.Tweening.Plugins.Core.PluginsManager of size 196
    Type: DG.Tweening.Core.TweenerCore`3[[UnityEngine.Color, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null],[UnityEngine.Color, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null],[DG.Tweening.Plugins.Options.ColorOptions, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 160
    Type: DG.Tweening.Core.TweenerCore`3[[UnityEngine.Quaternion, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null],[UnityEngine.Vector3, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null],[DG.Tweening.Plugins.Options.QuaternionOptions, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 160
    Type: DG.Tweening.Core.TweenerCore`3[[UnityEngine.Vector3, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null],[UnityEngine.Vector3, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null],[DG.Tweening.Plugins.Options.VectorOptions, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 160
    Type: DG.Tweening.Core.TweenerCore`3[[System.Single, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[System.Single, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[DG.Tweening.Plugins.Options.FloatOptions, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 160
    Type: DG.Tweening.Core.TweenerCore`3[[UnityEngine.Vector2, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null],[UnityEngine.Vector2, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null],[DG.Tweening.Plugins.Options.VectorOptions, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 160
    Type: DG.Tweening.Core.TweenerCore`3[[UnityEngine.Vector3, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null],[UnityEngine.Vector3[], UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null],[DG.Tweening.Plugins.Options.Vector3ArrayOptions, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 160
    Type: DG.Tweening.Core.TweenerCore`3[[System.Int32, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[System.Int32, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[DG.Tweening.Plugins.Options.NoOptions, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 160
    Type: DG.Tweening.Core.TweenerCore`3[[System.UInt64, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[System.UInt64, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[DG.Tweening.Plugins.Options.NoOptions, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 160
    Type: DG.Tweening.Plugins.StringPlugin of size 160
    Type: DG.Tweening.TweenParams of size 152
    Type: DG.Tweening.Core.DOTweenSettings of size 56
    Type: DG.Tweening.Plugins.RectOffsetPlugin of size 32
    Type: DG.Tweening.Core.Easing.EaseManager of size 8
    Type: DG.Tweening.Core.Debugger of size 4
    Type: DG.Tweening.Plugins.PathPlugin of size 4
Assembly: I18N, Version=2.0.0.0, Culture=neutral, PublicKeyToken=0738eb9f132ed756 of total size: 62440
    Type: I18N.Common.Manager of size 44888
    Type: I18N.Common.Handlers of size 13016
    Type: Consts of size 4536
Assembly: UnityEngine.Networking, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null of total size: 40300
    Type: UnityEngine.Networking.NetworkWriter of size 33364
    Type: UnityEngine.Networking.MsgType of size 2712
    Type: UnityEngine.Networking.NetworkScene of size 1896
    Type: UnityEngine.Networking.ClientScene of size 868
    Type: UnityEngine.Networking.NetworkBehaviour of size 508
    Type: UnityEngine.Networking.NetworkManager of size 184
    Type: UnityEngine.Networking.ChannelBuffer of size 160
    Type: UnityEngine.Networking.NetworkIdentity of size 148
    Type: UnityEngine.Networking.NetworkClient of size 96
    Type: UnityEngine.Networking.NetworkAnimator of size 96
    Type: UnityEngine.Networking.NetworkServer of size 78
    Type: UnityEngine.Networking.NetworkLobbyManager of size 72
    Type: UnityEngine.Networking.LogFilter of size 32
    Type: UnityEngine.Networking.NetworkTransform of size 16
    Type: UnityEngine.Networking.NetBuffer of size 12
    Type: UnityEngine.Networking.NetworkTransformChild of size 8
    Type: UnityEngine.Networking.Channels of size 8
    Type: UnityEngine.Networking.NetworkReader of size 8
    Type: UnityEngine.Networking.NetworkInstanceId of size 8
    Type: UnityEngine.Networking.NetworkConnection of size 8
    Type: UnityEngine.Networking.PlayerController of size 6
    Type: UnityEngine.Networking.LocalClient of size 4
    Type: UnityEngine.Networking.NetworkMessage of size 4
    Type: UnityEngine.Networking.NetworkDiscovery of size 4
Assembly: nunit.core, Version=2.6.4.0, Culture=neutral, PublicKeyToken=7aba5c763ef4d5f9 of total size: 38064
    Type: NUnit.Core.TestExecutionContext of size 26796
    Type: NUnit.Core.NUnitFramework of size 3380
    Type: NUnit.Core.Builders.CombinatorialTestCaseProvider of size 1892
    Type: NUnit.Core.CoreExtensions of size 1844
    Type: NUnit.Core.PlatformHelper of size 496
    Type: NUnit.Core.Builders.ProviderCache of size 364
    Type: NUnit.Core.TestAction of size 300
    Type: NUnit.Core.Builders.InlineDataPointProvider of size 232
    Type: NUnit.Framework.AsyncInvocationRegion+AsyncTaskInvocationRegion of size 220
    Type: NUnit.Core.Builders.ValueSourceProvider of size 200
    Type: NUnit.Core.Builders.DatapointProvider of size 192
    Type: NUnit.Core.ThreadedTestRunner of size 184
    Type: NUnit.Core.SimpleTestRunner of size 176
    Type: NUnit.Core.AssemblyResolver of size 176
    Type: NUnit.Core.Builders.TestAssemblyBuilder of size 160
    Type: NUnit.Core.RemoteTestRunner of size 160
    Type: NUnit.Core.TestThread of size 152
